Block_Number,Block_Label,Block_Duration_Minutes,Trial_Number,Sequence_Number,Trial_In_Sequence,Contrast,Delay,DiameterX,DiameterY,Duration,Orientation,Spatial_Frequency,Temporal_Frequency,X,Y,Phase,Trial_Type,Block_Type
6,Control block 4,6.4,51077,571,2,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,2.28554690194288,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51078,571,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,2.8510608667684827,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51079,571,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,3.412854344938342,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51080,571,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,3.963486363323839,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51081,572,1,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,4.521559354927357,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51082,572,2,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,5.061029913520364,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51083,572,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,6.117648110958849,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51084,572,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,0.35161044262067903,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51085,572,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,1.3487008542865517,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51086,573,1,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,1.839805086895372,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51087,573,2,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,2.3234683462861705,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51088,573,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,2.8034111191065643,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51089,573,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,3.2759129186236,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51090,573,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,4.250680410627282,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51091,574,1,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,4.749225616458187,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51092,574,2,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,5.25521179551524,prerecorded,open_loop_prerecorded
